😀  grinning face
😁  grinning face with smiling eyes
😂  face with tears of joy
😃  smiling face with open mouth
😄  smiling face with open mouth and smiling eyes
😅  smiling face with open mouth and cold sweat
😆  smiling face with open mouth and tightly-closed eyes
😇  smiling face with halo
😈  smiling face with horns
😉  winking face
😊  smiling face with smiling eyes
😋  face savouring delicious food
😌  relieved face
😍  smiling face with heart-shaped eyes
😎  smiling face with sunglasses
😏  smirking face
😐  neutral face
😑  expressionless face
😒  unamused face
😓  face with cold sweat
😔  pensive face
😕  confused face
😖  confounded face
😗  kissing face
😘  face throwing a kiss
😙  kissing face with smiling eyes
😚  kissing face with closed eyes
😛  face with stuck-out tongue
😜  face with stuck-out tongue and winking eye
😝  face with stuck-out tongue and tightly-closed eyes
😞  disappointed face
😟  worried face
😠  angry face
😡  pouting face
😢  crying face
😣  persevering face
😤  face with look of triumph
😥  disappointed but relieved face
😦  frowning face with open mouth
😧  anguished face
😨  fearful face
😩  weary face
😪  sleepy face
😫  tired face
😬  grimacing face
😭  loudly crying face
😮  face with open mouth
😯  hushed face
😰  face with open mouth and cold sweat
😱  face screaming in fear
😲  astonished face
😳  flushed face
😴  sleeping face
😵  dizzy face
😶  face without mouth
😷  face with medical mask
😸  grinning cat face with smiling eyes
😹  cat face with tears of joy
😺  smiling cat face with open mouth
😻  smiling cat face with heart-shaped eyes
😼  cat face with wry smile
😽  kissing cat face with closed eyes
😾  pouting cat face
😿  crying cat face
🙀  weary cat face
🙁  slightly frowning face
🙂  slightly smiling face
🙃  upside-down face
🙄  face with rolling eyes
🙅  face with no good gesture
🙆  face with ok gesture
🙇  person bowing deeply
🙈  see-no-evil monkey
🙉  hear-no-evil monkey
🙊  speak-no-evil monkey
🙋  happy person raising one hand
🙌  person raising both hands in celebration
🙍  person frowning
🙎  person with pouting face
🙏  person with folded hands
🤀  circled cross formee with four dots
🤁  circled cross formee with two dots
🤂  circled cross formee
🤃  left half circle with four dots
🤄  left half circle with three dots
🤅  left half circle with two dots
🤆  left half circle with dot
🤇  left half circle
🤈  downward facing hook
🤉  downward facing notched hook
🤊  downward facing hook with dot
🤋  downward facing notched hook with dot
🤌  pinched fingers
🤍  white heart
🤎  brown heart
🤏  pinching hand
🤐  zipper-mouth face
🤑  money-mouth face
🤒  face with thermometer
🤓  nerd face
🤔  thinking face
🤕  face with head-bandage
🤖  robot face
🤗  hugging face
🤘  sign of the horns
🤙  call me hand
🤚  raised back of hand
🤛  left-facing fist
🤜  right-facing fist
🤝  handshake
🤞  hand with index and middle fingers crossed
🤟  i love you hand sign
🤠  face with cowboy hat
🤡  clown face
🤢  nauseated face
🤣  rolling on the floor laughing
🤤  drooling face
🤥  lying face
🤦  face palm
🤧  sneezing face
🤨  face with one eyebrow raised
🤩  grinning face with star eyes
🤪  grinning face with one large and one small eye
🤫  face with finger covering closed lips
🤬  serious face with symbols covering mouth
🤭  smiling face with smiling eyes and hand covering mouth
🤮  face with open mouth vomiting
🤯  shocked face with exploding head
🤰  pregnant woman
🤱  breast-feeding
🤲  palms up together
🤳  selfie
🤴  prince
🤵  man in tuxedo
🤶  mother christmas
🤷  shrug
🤸  person doing cartwheel
🤹  juggling
🤺  fencer
🤻  modern pentathlon
🤼  wrestlers
🤽  water polo
🤾  handball
🤿  diving mask
🥀  wilted flower
🥁  drum with drumsticks
🥂  clinking glasses
🥃  tumbler glass
🥄  spoon
🥅  goal net
🥆  rifle
🥇  first place medal
🥈  second place medal
🥉  third place medal
